Name,PageId,URL,Total Documents,Docs to Acknowledge,Last Updated,Sections Count,Sections
"Arbetsmiljö","140","https://www.notisum.se/rn/focus?pageid=140",41,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Ekonomi","142","https://www.notisum.se/rn/focus?pageid=142",47,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Energi","141","https://www.notisum.se/rn/focus?pageid=141",37,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Fastighet","143","https://www.notisum.se/rn/focus?pageid=143",34,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Förvaltning","517","https://www.notisum.se/rn/focus?pageid=517",0,,"",0,""
"Hälsa och Sjukvård","144","https://www.notisum.se/rn/focus?pageid=144",42,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Livsmedel","516","https://www.notisum.se/rn/focus?pageid=516",32,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Marknad","145","https://www.notisum.se/rn/focus?pageid=145",42,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Media","146","https://www.notisum.se/rn/focus?pageid=146",37,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Miljö","147","https://www.notisum.se/rn/focus?pageid=147",58,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Personal","148","https://www.notisum.se/rn/focus?pageid=148",43,,"",3,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 MYNDIGHETSFÖRESKRIFTER; 03 NYHETER"
"Produktlagstiftning","149","https://www.notisum.se/rn/focus?pageid=149",27,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Rättsväsende","150","https://www.notisum.se/rn/focus?pageid=150",26,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Skola","151","https://www.notisum.se/rn/focus?pageid=151",48,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Skog- och jordbruk","518","https://www.notisum.se/rn/focus?pageid=518",0,,"",0,""
"Social","152","https://www.notisum.se/rn/focus?pageid=152",63,,"",4,"01 GENVÄGAR TILL DE VIKTIGASTE DOKUMENTEN; 02 LAGAR OCH FÖRORDNINGAR; 03 MYNDIGHETSFÖRESKRIFTER; 04 NYHETER"
"Säkerhet","153","https://www.notisum.se/rn/focus?pageid=153",0,,"",0,""
"Trafik","154","https://www.notisum.se/rn/focus?pageid=154",0,,"",0,""